SCHID,C0196,C0198,C0200,C0202,C0204,C0194,C0560,C0562,FR_LVEL,FR_SIZE,FR_URBAN,INVASIVE,C0190,C0284,C0288,C0308,SVINC08,FR_CATMN
2,4,3,1,1,1,2,2,2,2,4,2,0,2,3,2,2,0.0,4.0
3,3,4,3,3,2,2,3,3,2,3,2,1,1,2,2,2,0.0,3.0
4,3,2,2,1,2,2,3,3,3,3,4,1,1,3,2,2,1.0,2.0
6,2,2,1,1,1,2,3,3,2,3,3,0,2,2,3,2,0.0,4.0
7,2,2,4,1,2,2,3,3,3,4,2,0,2,3,3,2,0.0,2.0
8,4,4,3,3,1,2,3,3,1,3,4,0,1,3,3,2,0.0,3.0
9,3,3,3,2,1,2,2,3,3,4,2,1,1,3,1,2,1.0,4.0
11,4,4,3,3,2,2,3,3,2,3,4,0,2,2,2,2,0.0,2.0
12,4,5,4,3,1,1,3,3,1,3,4,1,1,3,3,2,0.0,1.0
13,4,4,4,3,1,2,3,3,1,2,2,0,1,2,3,2,0.0,3.0
14,2,4,2,1,2,2,3,3,2,3,2,0,1,3,2,2,1.0,3.0
17,2,1,1,1,2,2,1,1,2,2,2,1,1,3,3,2,0.0,4.0
18,2,3,3,2,1,2,3,3,3,4,4,1,2,2,3,2,1.0,2.0
19,2,2,4,1,2,2,3,3,3,4,2,0,2,3,2,2,0.0,2.0
21,3,4,2,1,1,2,4,3,3,4,3,1,1,2,2,2,0.0,3.0
22,4,4,3,2,2,2,3,3,1,3,3,1,2,2,3,2,1.0,2.0
23,1,4,2,1,1,2,3,3,1,2,1,0,2,2,2,2,0.0,3.0
25,3,2,4,1,1,2,3,3,3,1,4,1,2,3,3,2,0.0,1.0
26,1,2,2,1,1,1,1,1,2,3,1,1,2,3,2,2,0.0,4.0
27,4,4,4,1,2,2,3,3,1,3,4,1,2,2,1,2,0.0,3.0
29,2,2,1,1,1,2,1,1,1,1,1,0,2,3,2,2,4.0,4.0
30,4,4,4,4,1,1,3,3,1,1,3,0,1,3,2,2,0.0,2.0
31,4,4,3,3,1,2,4,3,1,3,1,0,1,3,3,2,0.0,3.0
32,4,4,5,5,1,2,3,3,2,3,2,0,2,2,2,2,0.0,3.0
34,3,3,2,1,1,2,4,3,3,4,1,1,2,1,2,2,0.0,3.0
35,3,4,2,5,2,2,3,3,3,4,2,1,1,3,3,2,0.0,4.0
36,3,3,2,1,1,2,4,3,3,4,1,1,1,2,2,2,2.0,4.0
37,2,2,3,2,2,2,3,3,3,3,3,1,2,3,3,2,0.0,1.0
39,4,4,4,4,1,1,3,3,1,3,3,1,2,3,3,2,0.0,2.0
40,2,1,1,1,1,2,3,3,3,4,4,1,1,3,2,2,0.0,3.0
41,2,2,2,1,1,2,4,3,2,3,1,0,1,2,2,2,0.0,4.0
43,3,4,3,1,1,2,3,3,2,1,4,1,1,3,2,2,0.0,2.0
44,3,3,3,2,1,2,4,3,3,3,1,1,1,3,3,2,3.0,4.0
45,4,4,3,2,1,2,3,3,2,4,2,0,1,3,3,2,0.0,3.0
46,3,5,3,1,2,2,4,3,3,2,3,0,1,3,3,2,0.0,1.0
47,1,1,1,1,2,1,4,3,2,2,3,1,1,3,3,2,0.0,4.0
48,3,3,3,3,1,1,3,3,3,2,4,1,1,3,3,2,0.0,1.0
49,5,1,2,1,2,2,2,2,4,2,4,1,2,1,1,2,0.0,4.0
50,2,3,3,1,1,1,3,3,2,3,1,0,2,3,3,2,0.0,3.0
51,4,4,2,1,1,2,2,2,3,3,1,1,1,2,2,2,0.0,4.0
52,4,4,2,1,1,2,3,3,2,1,3,0,1,3,2,2,0.0,1.0
53,3,3,3,1,2,1,4,2,1,3,1,0,1,3,2,2,21.0,4.0
54,2,2,2,2,2,2,2,2,3,4,1,1,1,3,3,2,0.0,4.0
56,3,5,3,1,1,2,3,3,3,4,2,1,2,3,3,2,1.0,3.0
57,3,1,1,1,1,2,1,1,2,3,1,1,1,2,2,2,0.0,4.0
58,2,1,2,1,1,2,4,3,2,1,4,0,1,3,3,2,0.0,1.0
59,3,2,4,1,1,2,2,3,3,4,1,0,1,3,3,2,0.0,4.0
60,2,2,2,1,1,2,4,3,3,4,4,1,2,3,3,2,1.0,4.0
61,3,4,3,1,1,1,2,2,3,4,1,0,1,2,2,2,4.0,4.0
62,2,2,1,1,2,2,3,3,3,3,4,1,1,2,2,2,0.0,4.0
64,3,4,3,3,1,2,4,2,2,4,3,1,1,2,2,2,0.0,2.0
65,2,2,2,1,2,2,3,3,2,3,4,0,2,2,1,2,0.0,4.0
68,4,4,4,3,1,2,3,3,1,2,4,0,2,3,3,2,0.0,2.0
71,4,4,4,1,1,2,3,3,2,3,2,0,2,3,3,2,0.0,3.0
74,3,4,3,1,1,2,3,3,4,3,4,1,1,2,3,2,0.0,1.0
75,3,3,2,1,1,2,3,3,2,3,4,0,1,2,1,2,2.0,3.0
77,4,3,1,1,2,2,2,2,1,3,2,0,1,3,3,2,0.0,4.0
78,2,4,4,1,1,2,4,3,3,4,2,1,1,3,3,2,0.0,2.0
79,1,5,1,1,1,1,3,3,2,3,2,0,1,3,3,2,0.0,4.0
80,5,3,3,2,1,2,2,3,3,1,4,0,2,1,2,2,0.0,2.0
82,4,2,2,3,1,2,3,3,2,4,4,0,1,3,3,2,0.0,1.0
83,2,2,2,1,1,1,3,3,3,4,2,1,1,3,3,2,0.0,2.0
84,2,1,3,1,1,2,3,3,3,4,4,0,1,3,3,2,0.0,3.0
86,2,1,1,1,2,2,2,2,2,3,1,0,1,3,1,2,6.0,4.0
89,3,3,2,1,2,2,2,2,2,1,3,1,1,3,3,2,0.0,3.0
90,4,4,4,2,1,2,3,3,1,2,1,0,1,3,2,2,0.0,2.0
91,3,1,2,1,1,1,3,3,3,4,2,0,1,3,3,2,2.0,2.0
94,4,3,3,2,1,1,3,3,2,2,4,1,1,3,3,2,0.0,3.0
96,3,3,3,2,1,2,3,3,3,2,4,1,1,3,3,2,0.0,1.0
98,3,4,3,2,1,1,3,3,1,3,2,0,1,3,3,2,0.0,2.0
99,4,4,4,2,1,2,3,3,2,2,2,0,1,2,3,2,0.0,2.0
102,4,5,4,3,1,2,3,3,2,3,2,0,1,3,3,2,1.0,2.0
103,2,2,2,1,1,2,3,3,2,3,1,0,1,3,2,2,10.0,4.0
104,4,4,4,4,1,1,3,3,1,1,3,0,1,3,3,2,0.0,2.0
105,4,4,4,3,1,2,3,3,2,3,4,1,1,3,3,2,0.0,1.0
107,4,4,4,4,1,1,2,3,3,4,1,1,1,2,2,2,0.0,4.0
108,3,5,3,1,1,2,4,3,2,4,1,0,1,2,2,2,0.0,3.0
110,4,4,3,1,1,1,3,3,1,3,1,0,1,3,2,2,1.0,4.0
111,4,3,4,2,1,1,3,3,3,4,2,1,1,2,3,2,0.0,2.0
