SCHID,C0196,C0198,C0200,C0202,C0204,C0194,C0560,C0562,FR_LVEL,FR_SIZE,FR_URBAN,INVASIVE,C0190,C0284,C0288,C0308,SVINC08,FR_CATMN,FINALWGT,REPWGT1,REPWGT2,REPWGT3,REPWGT4,REPWGT5,REPWGT6,REPWGT7,REPWGT8,REPWGT9,REPWGT10,REPWGT11,REPWGT12,REPWGT13,REPWGT14,REPWGT15,REPWGT16,REPWGT17,REPWGT18,REPWGT19,REPWGT20,REPWGT21,REPWGT22,REPWGT23,REPWGT24,REPWGT25,REPWGT26,REPWGT27,REPWGT28,REPWGT29,REPWGT30,REPWGT31,REPWGT32,REPWGT33,REPWGT34,REPWGT35,REPWGT36,REPWGT37,REPWGT38,REPWGT39,REPWGT40,REPWGT41,REPWGT42,REPWGT43,REPWGT44,REPWGT45,REPWGT46,REPWGT47,REPWGT48,REPWGT49,REPWGT50,IC0110,IC0112,IC0114,IC0116,IC0120,IC0122,IC0124,IC0126,IC0128,IC0130,IC0132,IC0134,IC0136,IC0138,IC0140,IC0141,IC0142,IC0143,IC0144,IC0146,IC0148,IC0150,IC0152,IC0154,IC0156,IC0158,IC0160,IC0162,IC0164,IC0166,IC0168,IC0169,IC0170,IC0171,IC0172,IC0173,IC0174,IC0176,IC0178,IC0180,IC0182,IC0184,IC0186,IC0188,IC0190,IC0192,IC0194,IC0196,IC0198,IC0200,IC0202,IC0204,IC0206,IC0208,IC0210,IC0212,IC0214,IC0216,IC0218,IC0220,IC0222,IC0224,IC0226,IC0228,IC0230,IC0244,IC0246,IC0248,IC0250,IC0252,IC0254,IC0256,IC0258,IC0260,IC0262,IC0264,IC0266,IC0268,IC0270,IC0272,IC0274,IC0276,IC0280,IC0282,IC0284,IC0286,IC0288,IC0290,IC0292,IC0294,IC0296,IC0298,IC0300,IC0302,IC0304,IC0306,IC0308,IC0374,IC0376,IC0378,IC0380,IC0382,IC0384,IC0386,IC0388,IC0390,IC0392,IC0394,IC0396,IC0398,IC0400,IC0402,IC0404,IC0406,IC0408,IC0410,IC0412,IC0414,IC0416,IC0418,IC0420,IC0422,IC0424,IC0426,IC0428,IC0430,IC0432,IC0434,IC0436,IC0438,IC0440,IC0442,IC0444,IC0446,IC0448,IC0450,IC0452,IC0454,IC0456,IC0508,IC0510,IC0512,IC0514,IC0516,IC0518,IC0520,IC0526,IC0528,IC0532,IC0534,IC0536,IC0538,IC0540,IC0542,IC0544,IC0546,IC0556,IC0558,IC0560,IC0562,IC0568,IC0570,IC0572,C0116,C0120,C0124,C0126
2,4,3,1,1,1,2,2,2,2,4,2,0,2,3,2,2,0.0,4.0,12.736286163345945,12.900808277240596,13.015002953072004,13.115016101983175,13.082059105164552,13.098569606445341,13.144261021002444,13.105086598790233,13.024701612567899,13.121053408192783,13.006542290789524,12.950588052896695,12.916761145837393,13.01840575383076,13.01393976510222,12.982652183996963,13.070756335985319,12.92377931601733,12.928172204469917,12.982015194842432,13.019293840622467,12.97530660217796,12.919972077308804,12.91334572978986,12.813785000442104,12.984722784427,12.974988934433378,13.009248142399517,12.853401084180755,12.975037263778042,13.042082629664685,12.92073563706699,12.84254778937503,13.159098155936181,12.94654062495624,12.97389299928208,13.126604239845403,13.112465102096955,0.0,12.853747419825696,13.063036329230359,12.890546365222784,12.956360084822009,12.988607473871042,13.106676150289886,12.850475624393189,13.016725913592,13.165863481134018,12.943908379764983,13.002464321999812,12.968332737756658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0
3,3,4,3,3,2,2,3,3,2,3,2,1,1,2,2,2,0.0,3.0,16.017388778224756,16.48780059258877,16.45864998613105,16.473016149775564,16.486420936195746,16.330272097452106,16.37239358205768,16.379463349527022,16.40389634101302,16.39522678151499,16.55086820086702,16.41755752710935,16.252372106637765,16.358103069283835,16.422951537467956,16.263252994907695,16.216388829612182,16.43006915669479,16.391720037385443,16.384082939781415,16.33881485830307,16.359859514315403,16.257735275950473,16.316684395168927,16.21959634830823,16.22298889810852,16.412371067595046,16.386717388881085,16.485388730245184,16.409692246444187,16.29109916266151,16.329647794293226,16.334543028000834,0.0,16.32627124899769,16.243014761620465,16.361330133332675,16.27508627716315,16.246943080660724,16.123540785628673,16.420609998546194,16.33198072662903,16.282927093866203,16.321054816655572,16.350364721371687,16.234221209295935,16.238592948270117,16.431907047157637,16.450318396265267,16.34414100920321,16.10285866635931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0
4,3,2,2,1,2,2,3,3,3,3,4,1,1,3,2,2,1.0,2.0,15.464093859476927,15.934527003940595,16.01893748699658,15.688107965388845,16.042878350394847,15.933221393328235,15.828434482974686,15.904531723366029,15.890266690126138,15.967390369150277,15.711101035891375,15.55079476278692,15.905489320826623,15.723855503835525,15.45956552809045,15.835643221563174,15.7881990684764,15.779960559111888,0.0,15.732953768098666,15.69013072776974,15.613346432298078,15.512712405112104,15.812003504638284,15.700511821127263,15.776724312522399,15.693067866094717,15.770573960236137,15.69228490915446,15.825141142543165,15.690590338643451,15.857609368568463,15.576386333699915,15.745568918826944,15.617285975580252,15.689663676839338,15.938123532865292,15.999810848950254,15.832035607164348,15.66923379262809,15.72235696215147,15.822279683339888,15.851593806964642,15.910469004055626,16.018411850930924,16.002457946272,15.473886882109968,15.813671661983529,15.865910126066396,15.859038762803513,15.612477475039983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0
6,2,2,1,1,1,2,3,3,2,3,3,0,2,2,3,2,0.0,4.0,16.457437934301016,16.77290179120791,16.746146911662315,16.737792968958978,16.763498991904054,16.679393255604552,16.712254025490996,16.869564893105817,16.770921073547495,16.65293546197849,0.0,16.61322419846314,16.798125209088585,16.679889145447902,16.8935058832482,16.490205149864344,16.822424809957646,16.98518691417114,17.14272498060761,16.695584975647186,16.687770346884964,16.57235871350005,16.832959856190218,16.82616423734566,16.942244277366687,16.931688966056758,16.924271194195015,16.808543080639353,16.867134784537235,16.905032250066846,16.662671598071668,16.817744820309446,16.695457044877827,16.860202286828667,16.852919872871873,16.865039466216935,16.73206497080189,16.669910436771314,16.87531616836161,16.763906034059968,16.941321110154874,16.92534177039955,16.802467766865444,16.883763110691852,16.680034242598865,16.71083648762012,16.738511874689408,16.66231659693091,16.713594243227288,16.770478089603973,16.878502127335786,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0
7,2,2,4,1,2,2,3,3,3,4,2,0,2,3,3,2,0.0,2.0,7.7423027287485535,7.8245797766874485,7.832303771542929,7.821087065487166,7.801394556400361,7.864211735807566,7.956883103450079,7.912131376744383,7.78916825883159,7.963659758746849,7.9140781374217655,7.97920191028431,7.953755542965316,7.899509903285165,7.882167908810539,7.873204703965787,7.913376000235226,7.928854361711195,7.911164885505149,7.810432674142617,7.8914249230092475,7.881118112300598,7.9840698374105585,7.940833224811842,8.038146165984477,8.04239712189912,8.014184264848039,7.986036367442351,7.9637087537042595,7.881270362549907,7.908535068200895,7.954030289777755,7.903396388469656,7.833703238246882,7.931960830235205,7.9210139871067495,7.905903788691789,7.903980462746948,7.802686717546477,7.850697047163603,7.818506413642425,7.842709726152864,7.952654071613166,7.916730021762439,0.0,7.959352114633674,7.9049614920527835,7.833491064393308,7.693008059810923,7.907536243975964,7.890011255905538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,14.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0
8,4,4,3,3,1,2,3,3,1,3,4,0,1,3,3,2,0.0,3.0,60.419096339791146,61.631350788980626,62.11887616526392,60.14591363446105,60.40033924105537,62.26559539877106,61.668790201656336,61.70878438253412,61.91457676540835,60.920718261847014,62.43310808644417,61.59255177763995,61.94266418239718,61.94992425552939,61.08492968176397,61.32552018496865,62.379083787383415,61.77822077518637,61.61611774282348,61.39571217084633,61.571077732355505,61.21294539552714,61.99507929856644,61.575464763741934,62.378150117858105,60.03711895512185,61.47319324444458,61.17134444853797,62.732460482286015,0.0,63.07251315371528,62.23404924512631,62.33009518460596,61.95692545709572,61.643407515204984,62.348724544127705,61.506101818595546,60.84882309879697,61.405301493935134,61.70321386279926,61.92606461714937,61.66674603289426,61.153031288602136,61.319890670300694,61.698768841474575,61.12107540613516,61.37988143176842,60.98454740011698,61.50308532302876,61.56950523027282,62.46117830864879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0
9,3,3,3,2,1,2,2,3,3,4,2,1,1,3,1,2,1.0,4.0,9.797339276191632,9.913235642247061,10.033251186776106,9.93816646945375,9.839991247847447,9.924920803894214,10.003443504707814,9.918057472180761,10.100287750160952,9.956741073208617,10.07330139377835,10.089361227099218,9.93176154013299,10.102986820000972,10.018035860908142,9.961208948492764,10.026899358539598,10.016432998041306,10.010541492373745,9.901060131893091,10.018846428390775,9.939207662279026,10.116541355199656,10.04365330306013,10.11219643884103,10.18048620767423,0.0,10.057856047359415,10.04797410008472,10.063892310342062,10.031309153067825,9.983497799395865,9.843515102705924,9.922815847294975,9.966758293236508,10.00583294224299,10.041654759991387,9.999560726581391,9.865582802234957,9.936089024787679,10.019671266275967,9.922789926141336,10.021383807278387,9.978961504060319,10.048678057788765,9.990451634919433,9.938726637421608,10.040496481137591,9.932924738008042,9.966983961710207,9.957612990672308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,18.0,2.0,2.0,1.0,2.0
11,4,4,3,3,2,2,3,3,2,3,4,0,2,2,2,2,0.0,2.0,15.446081657816332,15.906958715705375,15.8030151642887,15.568554039555924,15.88536907520662,15.761572469014284,15.442283775786308,15.631614659449014,15.764508475254125,15.859705897638673,15.716812151580196,15.659511342252406,15.816814782919652,15.778257728051235,15.535075450206254,15.748000387439074,15.65519456119969,15.966699894654166,15.735222330107018,15.696724225046305,15.902365212360378,15.617752889681018,15.589174500390959,15.94642043741938,16.018902046277432,16.07106500752464,15.859147367708616,0.0,15.759318594585354,15.782656671191935,15.834229315246377,15.814737862728872,15.839452260441963,15.782339970323322,15.587955935474957,15.515831994492613,15.778169773580817,15.64724978668715,16.024456485624203,15.726877240336718,15.699532280343714,15.884453252404521,15.676638125262738,15.952093776999034,15.944794576116792,15.894074151143647,15.494682827715524,15.560645716074577,15.862803187180402,15.660904911494153,15.36219566764084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0
12,4,5,4,3,1,1,3,3,1,3,4,1,1,3,3,2,0.0,1.0,76.73576593098656,76.47581148294167,79.46353483061138,77.43018521313397,74.72303219380022,81.70851445269393,79.07425646814534,76.57861330058829,79.96540011791211,75.76822359741293,77.76516097626802,78.3908509340865,78.75744881123263,78.60235682718144,77.54132888566494,77.49881455940428,79.02904170210596,78.17253656826169,77.51234495245,77.4073862803551,78.27885832492893,77.39040287390299,78.8080580066542,78.0883538081427,78.75957014048647,76.30879641179521,79.91581493060077,76.13530552541293,81.98584643565576,82.63089226372925,0.0,76.50465574146364,80.20350425575135,80.48282695306558,78.31423123658725,78.94697719640133,77.94020479944994,78.13396886337446,78.27273616376345,77.46457485005983,79.35694409267167,79.27797818034381,78.90133408470365,77.79412437782375,78.19452298390435,78.83102294182451,78.16359411562772,76.73661232701747,78.12092530772219,78.69593449486149,79.43014150490926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0
13,4,4,4,3,1,2,3,3,1,2,2,0,1,2,3,2,0.0,3.0,89.90325126618202,93.01337268031057,91.1143458810296,92.11642088363362,92.60400312899009,92.08888027609095,92.62478072169102,91.71486037318735,92.30180414710702,91.50349504909542,92.1518887700006,92.38103066583186,89.14700674384052,89.9302619866809,91.62637847254615,92.21804165121297,91.42859571205611,91.41883972034482,91.04984251163285,90.9499665573942,89.76112333189705,91.76304004939496,91.25880759806427,90.8223624023611,91.08729329322435,89.83190819618099,91.8244107158222,91.87831344068434,90.9700665358045,0.0,92.16589628252923,91.58896305950938,92.18295177425391,92.13520156948105,92.58410875004404,91.4499539041425,92.73906277091812,93.4287347862186,93.06894953742793,92.21680843525182,93.04862792292904,92.64618833558397,92.8032257155408,91.66649866612003,91.51396939094282,90.74214034227923,91.79179764018647,93.26066059977612,92.0164533818201,91.69832777618926,90.81636817963349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,6.0,0.0,0.0,2.0,2.0,2.0,2.0
